ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,57.5,0.0,2.70194e-08,--,na
49.412,57.75,0.0,2.765235e-08,--,na
49.412,58.0,0.0,2.68818e-08,--,na
49.412,58.25,0.0,2.550085e-08,--,na
49.412,58.5,0.0,2.90517e-08,--,na
49.412,58.75,0.0,2.7971300000000002e-08,--,na
49.412,59.0,0.0,2.80387e-08,--,na
49.412,59.25,0.0,2.871215e-08,--,na
49.412,59.5,0.0,2.883205e-08,--,na
49.412,59.75,0.0,2.8724e-08,--,na
49.412,60.0,0.0,2.91045e-08,--,na
49.412,60.25,0.0,2.967905e-08,--,na
49.412,60.5,0.0,2.992775e-08,--,na
49.412,60.75,0.0,3.0301e-08,--,na
49.412,61.0,0.0,3.12435e-08,--,na
49.412,61.25,0.0,3.1603e-08,--,na
49.412,61.5,0.0,3.1257e-08,--,na
49.412,61.75,0.0,3.07789e-08,--,na
49.412,62.0,0.0,3.20969e-08,--,na
49.412,62.25,0.0,3.2022e-08,--,na
49.412,62.5,0.0,3.23541e-08,--,na
49.412,62.75,0.0,3.24703e-08,--,na
49.412,63.0,0.0,3.32242e-08,--,na
49.412,63.25,0.0,3.398065e-08,--,na
49.412,63.5,0.0,3.4616e-08,--,na
49.412,63.75,0.0,3.47512e-08,--,na
49.412,64.0,0.0,3.5283549999999996e-08,--,na
49.412,64.25,0.0,3.5562e-08,--,na
49.412,64.5,0.0,3.4933450000000004e-08,--,na
49.412,64.75,0.0,3.66267e-08,--,na
49.412,65.0,0.0,3.677235e-08,--,na
49.412,65.25,0.0,3.68328e-08,--,na
49.412,65.5,0.0,3.69331e-08,--,na
49.412,65.75,0.0,3.74958e-08,--,na
49.412,66.0,0.0,3.79619e-08,--,na
49.412,66.25,0.0,3.83752e-08,--,na
49.412,66.5,0.0,3.85052e-08,--,na
49.412,66.75,0.0,3.9357e-08,--,na
49.412,67.0,0.0,4.043935e-08,--,na
49.412,67.25,0.0,4.0175749999999995e-08,--,na
49.412,67.5,0.0,3.9987e-08,--,na
49.412,67.75,0.0,4.07706e-08,--,na
49.412,68.0,0.0,4.1779850000000006e-08,--,na
49.412,68.25,0.0,4.2051250000000004e-08,--,na
49.412,68.5,0.0,4.29993e-08,--,na
49.412,68.75,0.0,4.31761e-08,--,na
49.412,69.0,0.0,4.30105e-08,--,na
49.412,69.25,0.0,4.4396349999999995e-08,--,na
49.412,69.5,0.0,4.4498e-08,--,na
49.412,69.75,0.0,4.57157e-08,--,na
49.412,70.0,0.0,4.48758e-08,--,na
49.412,70.25,0.0,4.5584299999999996e-08,--,na
49.412,70.5,0.0,4.5124300000000004e-08,--,na
49.412,70.75,0.0,4.60944e-08,--,na
49.412,71.0,0.0,4.59613e-08,--,na
49.412,71.25,0.0,4.6330700000000003e-08,--,na
49.412,71.5,0.0,4.6492099999999996e-08,--,na
49.412,71.75,0.0,4.66694e-08,--,na
49.412,72.0,0.0,4.67702e-08,--,na
49.412,72.25,0.0,4.75799e-08,--,na
49.412,72.5,0.0,4.758275e-08,--,na
49.412,72.75,0.0,4.87579e-08,--,na
49.412,73.0,0.0,4.98223e-08,--,na
49.412,73.25,0.0,4.997595e-08,--,na
49.412,73.5,0.0,4.935375e-08,--,na
49.412,73.75,0.0,5.09154e-08,--,na
49.412,74.0,0.0,5.01503e-08,--,na
49.412,74.25,0.0,5.06871e-08,--,na
49.412,74.5,0.0,5.05848e-08,--,na
49.412,74.75,0.0,5.12521e-08,--,na
49.412,75.0,0.0,5.04785e-08,--,na
49.412,75.25,0.0,5.19488e-08,--,na
49.412,75.5,0.0,4.940985e-08,--,na
49.412,75.75,0.0,5.14438e-08,--,na
49.412,76.0,0.0,5.28747e-08,--,na
49.412,76.25,0.0,5.27533e-08,--,na
49.412,76.5,0.0,5.33735e-08,--,na
49.412,76.75,0.0,5.36482e-08,--,na
49.412,77.0,0.0,5.3767050000000004e-08,--,na
49.412,77.25,0.0,5.42943e-08,--,na
49.412,77.5,0.0,5.449725e-08,--,na
49.412,77.75,0.0,5.46708e-08,--,na
49.412,78.0,0.0,5.506615e-08,--,na
49.412,78.25,0.0,5.45809e-08,--,na
49.412,78.5,0.0,5.46192e-08,--,na
49.412,78.75,0.0,5.46003e-08,--,na
49.412,79.0,0.0,5.4651850000000004e-08,--,na
49.412,79.25,0.0,5.43987e-08,--,na
49.412,79.5,0.0,5.55854e-08,--,na
49.412,79.75,0.0,5.51876e-08,--,na
49.412,80.0,0.0,5.3884050000000004e-08,--,na
49.412,80.25,0.0,5.478765e-08,--,na
49.412,80.5,0.0,5.39587e-08,--,na
49.412,80.75,0.0,5.453845e-08,--,na
49.412,81.0,0.0,5.46756e-08,--,na
49.412,81.25,0.0,5.391825e-08,--,na
49.412,81.5,0.0,5.35404e-08,--,na
49.412,81.75,0.0,5.34193e-08,--,na
49.412,82.0,0.0,5.33876e-08,--,na
49.412,82.25,0.0,5.2767600000000005e-08,--,na
49.412,82.5,0.0,5.26822e-08,--,na
49.412,82.75,0.0,5.119605e-08,--,na
49.412,83.0,0.0,5.1352e-08,--,na
49.412,83.25,0.0,5.15168e-08,--,na
49.412,83.5,0.0,5.1456e-08,--,na
49.412,83.75,0.0,5.1780000000000004e-08,--,na
49.412,84.0,0.0,5.07025e-08,--,na
49.412,84.25,0.0,5.10797e-08,--,na
49.412,84.5,0.0,5.00807e-08,--,na
49.412,84.75,0.0,4.9497250000000003e-08,--,na
49.412,85.0,0.0,5.004615e-08,--,na
49.412,85.25,0.0,4.97085e-08,--,na
49.412,85.5,0.0,4.934e-08,--,na
49.412,85.75,0.0,4.84568e-08,--,na
49.412,86.0,0.0,4.768345e-08,--,na
49.412,86.25,0.0,4.73782e-08,--,na
49.412,86.5,0.0,4.74047e-08,--,na
49.412,86.75,0.0,4.69371e-08,--,na
49.412,87.0,0.0,4.607915e-08,--,na
49.412,87.25,0.0,4.55905e-08,--,na
49.412,87.5,0.0,4.47257e-08,--,na
