ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.035,53.0,0.0,3.49888e-08,--,na
44.035,53.25,0.0,3.4372750000000006e-08,--,na
44.035,53.5,0.0,3.38239e-08,--,na
44.035,53.75,0.0,3.02956e-08,--,na
44.035,54.0,0.0,3.53749e-08,--,na
44.035,54.25,0.0,3.32754e-08,--,na
44.035,54.5,0.0,3.4688950000000004e-08,--,na
44.035,54.75,0.0,3.10685e-08,--,na
44.035,55.0,0.0,3.301435e-08,--,na
44.035,55.25,0.0,3.062605e-08,--,na
44.035,55.5,0.0,3.01954e-08,--,na
44.035,55.75,0.0,2.86003e-08,--,na
44.035,56.0,0.0,2.9278e-08,--,na
44.035,56.25,0.0,2.76806e-08,--,na
44.035,56.5,0.0,2.900295e-08,--,na
44.035,56.75,0.0,2.86849e-08,--,na
44.035,57.0,0.0,2.8234949999999998e-08,--,na
44.035,57.25,0.0,2.8168849999999997e-08,--,na
44.035,57.5,0.0,2.57085e-08,--,na
44.035,57.75,0.0,2.654395e-08,--,na
44.035,58.0,0.0,2.7463449999999997e-08,--,na
44.035,58.25,0.0,2.65366e-08,--,na
44.035,58.5,0.0,2.562525e-08,--,na
44.035,58.75,0.0,2.63134e-08,--,na
44.035,59.0,0.0,2.46816e-08,--,na
44.035,59.25,0.0,2.619605e-08,--,na
44.035,59.5,0.0,2.63437e-08,--,na
44.035,59.75,0.0,2.43295e-08,--,na
44.035,60.0,0.0,2.49424e-08,--,na
44.035,60.25,0.0,2.66395e-08,--,na
44.035,60.5,0.0,2.54525e-08,--,na
44.035,60.75,0.0,2.4742e-08,--,na
44.035,61.0,0.0,2.440855e-08,--,na
44.035,61.25,0.0,2.4947599999999998e-08,--,na
44.035,61.5,0.0,2.70842e-08,--,na
44.035,61.75,0.0,2.71545e-08,--,na
44.035,62.0,0.0,2.5670950000000003e-08,--,na
44.035,62.25,0.0,2.479475e-08,--,na
44.035,62.5,0.0,2.57137e-08,--,na
44.035,62.75,0.0,2.59032e-08,--,na
44.035,63.0,0.0,2.64468e-08,--,na
44.035,63.25,0.0,2.54011e-08,--,na
44.035,63.5,0.0,2.50453e-08,--,na
44.035,63.75,0.0,2.428865e-08,--,na
44.035,64.0,0.0,2.6030850000000002e-08,--,na
44.035,64.25,0.0,2.6229399999999998e-08,--,na
44.035,64.5,0.0,2.72112e-08,--,na
44.035,64.75,0.0,2.57087e-08,--,na
44.035,65.0,0.0,2.9693100000000002e-08,--,na
44.035,65.25,0.0,2.68539e-08,--,na
44.035,65.5,0.0,2.53381e-08,--,na
44.035,65.75,0.0,2.759235e-08,--,na
44.035,66.0,0.0,2.784775e-08,--,na
44.035,66.25,0.0,2.76161e-08,--,na
44.035,66.5,0.0,2.57785e-08,--,na
44.035,66.75,0.0,2.80135e-08,--,na
44.035,67.0,0.0,2.89211e-08,--,na
44.035,67.25,0.0,2.8064e-08,--,na
44.035,67.5,0.0,2.879815e-08,--,na
44.035,67.75,0.0,2.80881e-08,--,na
44.035,68.0,0.0,2.8505e-08,--,na
44.035,68.25,0.0,2.894295e-08,--,na
44.035,68.5,0.0,3.01325e-08,--,na
44.035,68.75,0.0,2.9402549999999997e-08,--,na
44.035,69.0,0.0,3.0525000000000004e-08,--,na
44.035,69.25,0.0,3.00492e-08,--,na
44.035,69.5,0.0,3.01214e-08,--,na
44.035,69.75,0.0,3.02289e-08,--,na
44.035,70.0,0.0,2.98457e-08,--,na
44.035,70.25,0.0,2.9450999999999997e-08,--,na
44.035,70.5,0.0,3.05462e-08,--,na
44.035,70.75,0.0,3.2060699999999995e-08,--,na
44.035,71.0,0.0,2.969985e-08,--,na
44.035,71.25,0.0,3.092965e-08,--,na
44.035,71.5,0.0,3.08363e-08,--,na
44.035,71.75,0.0,2.73709e-08,--,na
44.035,72.0,0.0,3.107345e-08,--,na
44.035,72.25,0.0,3.063125e-08,--,na
44.035,72.5,0.0,3.15778e-08,--,na
44.035,72.75,0.0,3.28783e-08,--,na
44.035,73.0,0.0,3.2808600000000004e-08,--,na
44.035,73.25,0.0,3.11496e-08,--,na
44.035,73.5,0.0,3.37183e-08,--,na
44.035,73.75,0.0,3.22523e-08,--,na
44.035,74.0,0.0,3.213085e-08,--,na
44.035,74.25,0.0,3.185375e-08,--,na
44.035,74.5,0.0,3.20196e-08,--,na
44.035,74.75,0.0,3.19426e-08,--,na
44.035,75.0,0.0,3.2326200000000005e-08,--,na
44.035,75.25,0.0,3.36289e-08,--,na
44.035,75.5,0.0,3.43255e-08,--,na
44.035,75.75,0.0,3.30624e-08,--,na
44.035,76.0,0.0,2.9614650000000002e-08,--,na
44.035,76.25,0.0,3.32116e-08,--,na
44.035,76.5,0.0,3.35715e-08,--,na
44.035,76.75,0.0,3.2476350000000005e-08,--,na
44.035,77.0,0.0,3.450015e-08,--,na
44.035,77.25,0.0,3.40908e-08,--,na
44.035,77.5,0.0,3.39842e-08,--,na
44.035,77.75,0.0,3.19669e-08,--,na
44.035,78.0,0.0,3.414195e-08,--,na
44.035,78.25,0.0,3.2736e-08,--,na
44.035,78.5,0.0,3.3683e-08,--,na
44.035,78.75,0.0,3.566325e-08,--,na
44.035,79.0,0.0,3.481325e-08,--,na
44.035,79.25,0.0,3.5276e-08,--,na
