ECM File Output,,,,,
Filename (includes date): 2025-09-08-15-31-den13a-175.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis, 6 breaks!!!!!,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 5,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.887792968749984,,,,,
Y Right: 102.02862499999995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 19.3265625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 19.3265625,,,,,
X max Position (raw - not laser corrected): 922.0812500000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.888,51.5,0.0,4.25506e-09,--,na
50.888,51.75,0.0,4.16521e-09,--,na
50.888,52.0,0.0,4.74542e-09,--,na
50.888,52.25,0.0,4.4121e-09,--,na
50.888,52.5,0.0,3.816095e-09,--,na
50.888,52.75,0.0,3.809575e-09,--,na
50.888,53.0,0.0,4.43183e-09,--,na
50.888,53.25,0.0,4.05039e-09,--,na
50.888,53.5,0.0,4.850105e-09,--,na
50.888,53.75,0.0,8.86989e-09,--,na
50.888,54.0,0.0,3.385905e-09,--,na
50.888,54.25,0.0,4.274855e-09,--,na
50.888,54.5,0.0,3.008835e-09,--,na
50.888,54.75,0.0,4.6254e-09,--,na
50.888,55.0,0.0,3.9175549999999995e-09,--,na
50.888,55.25,0.0,5.58181e-09,--,na
50.888,55.5,0.0,5.02105e-09,--,na
50.888,55.75,0.0,4.84778e-09,--,na
50.888,56.0,0.0,5.014485e-09,--,na
50.888,56.25,0.0,4.425760000000001e-09,--,na
50.888,56.5,0.0,3.88249e-09,--,na
50.888,56.75,0.0,4.425795e-09,--,na
50.888,57.0,0.0,4.42847e-09,--,na
50.888,57.25,0.0,4.58492e-09,--,na
50.888,57.5,0.0,4.36429e-09,--,na
50.888,57.75,0.0,4.8903e-09,--,na
50.888,58.0,0.0,5.612259999999999e-09,--,na
50.888,58.25,0.0,4.506944999999999e-09,--,na
50.888,58.5,0.0,4.37878e-09,--,na
50.888,58.75,0.0,4.398165e-09,--,na
50.888,59.0,0.0,4.64179e-09,--,na
50.888,59.25,0.0,4.411425e-09,--,na
50.888,59.5,0.0,4.62406e-09,--,na
50.888,59.75,0.0,3.6646499999999997e-09,--,na
50.888,60.0,0.0,4.400095e-09,--,na
50.888,60.25,0.0,4.68959e-09,--,na
50.888,60.5,0.0,4.487929999999999e-09,--,na
50.888,60.75,0.0,3.91454e-09,--,na
50.888,61.0,0.0,5.1033250000000005e-09,--,na
50.888,61.25,0.0,5.2735300000000005e-09,--,na
50.888,61.5,0.0,4.91027e-09,--,na
50.888,61.75,0.0,5.464090000000001e-09,--,na
50.888,62.0,0.0,5.87949e-09,--,na
50.888,62.25,0.0,4.59954e-09,--,na
50.888,62.5,0.0,5.04508e-09,--,na
50.888,62.75,0.0,4.2575649999999995e-09,--,na
50.888,63.0,0.0,3.6346e-09,--,na
50.888,63.25,0.0,4.741150000000001e-09,--,na
50.888,63.5,0.0,4.71373e-09,--,na
50.888,63.75,0.0,4.594e-09,--,na
50.888,64.0,0.0,4.73823e-09,--,na
50.888,64.25,0.0,5.13062e-09,--,na
50.888,64.5,0.0,5.63463e-09,--,na
50.888,64.75,0.0,5.0409800000000005e-09,--,na
50.888,65.0,0.0,5.20948e-09,--,na
50.888,65.25,0.0,4.71416e-09,--,na
50.888,65.5,0.0,6.13636e-09,--,na
50.888,65.75,0.0,4.52907e-09,--,na
50.888,66.0,0.0,5.2740750000000005e-09,--,na
50.888,66.25,0.0,5.81137e-09,--,na
50.888,66.5,0.0,5.21585e-09,--,na
50.888,66.75,0.0,5.8618849999999996e-09,--,na
50.888,67.0,0.0,7.390985e-09,--,na
50.888,67.25,0.0,4.8415949999999996e-09,--,na
50.888,67.5,0.0,5.45873e-09,--,na
50.888,67.75,0.0,5.661375000000001e-09,--,na
50.888,68.0,0.0,6.47292e-09,--,na
50.888,68.25,0.0,6.280965e-09,--,na
50.888,68.5,0.0,5.883235e-09,--,na
50.888,68.75,0.0,6.32509e-09,--,na
50.888,69.0,0.0,5.708535e-09,--,na
50.888,69.25,0.0,6.51417e-09,--,na
50.888,69.5,0.0,6.05196e-09,--,na
50.888,69.75,0.0,6.26134e-09,--,na
50.888,70.0,0.0,6.39735e-09,--,na
50.888,70.25,0.0,6.96124e-09,--,na
50.888,70.5,0.0,5.888235e-09,--,na
50.888,70.75,0.0,7.38416e-09,--,na
50.888,71.0,0.0,6.467905e-09,--,na
50.888,71.25,0.0,7.3068e-09,--,na
50.888,71.5,0.0,7.40268e-09,--,na
50.888,71.75,0.0,7.488149999999999e-09,--,na
50.888,72.0,0.0,8.228455e-09,--,na
50.888,72.25,0.0,7.7109e-09,--,na
50.888,72.5,0.0,7.963385e-09,--,na
50.888,72.75,0.0,7.61586e-09,--,na
50.888,73.0,0.0,8.643895e-09,--,na
50.888,73.25,0.0,7.2562150000000005e-09,--,na
50.888,73.5,0.0,7.40111e-09,--,na
50.888,73.75,0.0,6.1307999999999995e-09,--,na
50.888,74.0,0.0,7.25966e-09,--,na
50.888,74.25,0.0,7.31317e-09,--,na
50.888,74.5,0.0,6.80354e-09,--,na
50.888,74.75,0.0,7.3286050000000005e-09,--,na
50.888,75.0,0.0,7.24369e-09,--,na
50.888,75.25,0.0,7.100315e-09,--,na
50.888,75.5,0.0,7.5779e-09,--,na
50.888,75.75,0.0,7.608415000000001e-09,--,na
50.888,76.0,0.0,6.65454e-09,--,na
50.888,76.25,0.0,7.62224e-09,--,na
50.888,76.5,0.0,8.163934999999999e-09,--,na
50.888,76.75,0.0,7.74752e-09,--,na
50.888,77.0,0.0,7.656829999999999e-09,--,na
50.888,77.25,0.0,8.3768e-09,--,na
50.888,77.5,0.0,7.64313e-09,--,na
50.888,77.75,0.0,8.4754e-09,--,na
50.888,78.0,0.0,6.7419049999999996e-09,--,na
50.888,78.25,0.0,7.45177e-09,--,na
50.888,78.5,0.0,6.6596049999999996e-09,--,na
50.888,78.75,0.0,6.35658e-09,--,na
50.888,79.0,0.0,7.44074e-09,--,na
50.888,79.25,0.0,7.16629e-09,--,na
50.888,79.5,0.0,7.283045e-09,--,na
50.888,79.75,0.0,6.7546850000000004e-09,--,na
50.888,80.0,0.0,7.01412e-09,--,na
50.888,80.25,0.0,6.14326e-09,--,na
50.888,80.5,0.0,5.89103e-09,--,na
50.888,80.75,0.0,6.89102e-09,--,na
50.888,81.0,0.0,6.84139e-09,--,na
50.888,81.25,0.0,8.37875e-09,--,na
50.888,81.5,0.0,7.5889e-09,--,na
50.888,81.75,0.0,6.804075e-09,--,na
50.888,82.0,0.0,7.0875e-09,--,na
50.888,82.25,0.0,6.78594e-09,--,na
50.888,82.5,0.0,7.46809e-09,--,na
50.888,82.75,0.0,6.469599999999999e-09,--,na
50.888,83.0,0.0,6.60195e-09,--,na
50.888,83.25,0.0,7.13252e-09,--,na
50.888,83.5,0.0,7.068215e-09,--,na
50.888,83.75,0.0,6.69609e-09,--,na
50.888,84.0,0.0,6.32493e-09,--,na
50.888,84.25,0.0,5.98812e-09,--,na
50.888,84.5,0.0,6.2854299999999995e-09,--,na
50.888,84.75,0.0,6.280545e-09,--,na
50.888,85.0,0.0,6.588825e-09,--,na
50.888,85.25,0.0,6.37362e-09,--,na
50.888,85.5,0.0,7.1996750000000006e-09,--,na
50.888,85.75,0.0,6.71419e-09,--,na
50.888,86.0,0.0,5.66033e-09,--,na
50.888,86.25,0.0,6.69116e-09,--,na
50.888,86.5,0.0,7.1009249999999994e-09,--,na
50.888,86.75,0.0,6.683145e-09,--,na
50.888,87.0,0.0,6.7394499999999995e-09,--,na
50.888,87.25,0.0,7.17565e-09,--,na
50.888,87.5,0.0,6.525025e-09,--,na
50.888,87.75,0.0,7.33549e-09,--,na
50.888,88.0,0.0,7.320515e-09,--,na
50.888,88.25,0.0,6.21845e-09,--,na
50.888,88.5,0.0,5.6885900000000005e-09,--,na
50.888,88.75,0.0,6.39082e-09,--,na
50.888,89.0,0.0,6.7298050000000004e-09,--,na
50.888,89.25,0.0,7.23405e-09,--,na
50.888,89.5,0.0,7.268535e-09,--,na
50.888,89.75,0.0,6.7228300000000005e-09,--,na
50.888,90.0,0.0,7.13936e-09,--,na
50.888,90.25,0.0,6.94895e-09,--,na
50.888,90.5,0.0,5.67854e-09,--,na
50.888,90.75,0.0,6.691365e-09,--,na
50.888,91.0,0.0,7.55777e-09,--,na
50.888,91.25,0.0,6.74503e-09,--,na
50.888,91.5,0.0,6.7539900000000006e-09,--,na
50.888,91.75,0.0,7.402565e-09,--,na
50.888,92.0,0.0,7.302465000000001e-09,--,na
50.888,92.25,0.0,6.96033e-09,--,na
50.888,92.5,0.0,6.540495e-09,--,na
50.888,92.75,0.0,6.66894e-09,--,na
50.888,93.0,0.0,7.76017e-09,--,na
50.888,93.25,0.0,3.08901e-09,--,na
50.888,93.5,0.0,6.8272249999999994e-09,--,na
50.888,93.75,0.0,7.243915e-09,--,na
50.888,94.0,0.0,6.47618e-09,--,na
50.888,94.25,0.0,6.61637e-09,--,na
50.888,94.5,0.0,7.72563e-09,--,na
50.888,94.75,0.0,6.94976e-09,--,na
50.888,95.0,0.0,7.322195e-09,--,na
50.888,95.25,0.0,5.95084e-09,--,na
50.888,95.5,0.0,6.28251e-09,--,na
50.888,95.75,0.0,6.212115e-09,--,na
50.888,96.0,0.0,5.97435e-09,--,na
50.888,96.25,0.0,6.4810699999999994e-09,--,na
50.888,96.5,0.0,6.680485e-09,--,na
50.888,96.75,0.0,6.43016e-09,--,na
50.888,97.0,0.0,5.827e-09,--,na
50.888,97.25,0.0,5.95828e-09,--,na
50.888,97.5,0.0,5.3344449999999996e-09,--,na
50.888,97.75,0.0,5.74911e-09,--,na
50.888,98.0,0.0,4.92763e-09,--,na
50.888,98.25,0.0,5.5846299999999996e-09,--,na
50.888,98.5,0.0,6.06464e-09,--,na
50.888,98.75,0.0,5.49557e-09,--,na
50.888,99.0,0.0,5.40914e-09,--,na
50.888,99.25,0.0,6.011055e-09,--,na
50.888,99.5,0.0,5.58249e-09,--,na
50.888,99.75,0.0,5.501875e-09,--,na
50.888,100.0,0.0,6.72914e-09,--,na
50.888,100.25,0.0,5.81959e-09,--,na
50.888,100.5,0.0,4.736635000000001e-09,--,na
50.888,100.75,0.0,6.029985e-09,--,na
50.888,101.0,0.0,5.20853e-09,--,na
50.888,101.25,0.0,5.0823499999999995e-09,--,na
50.888,101.5,0.0,5.615195e-09,--,na
50.888,101.75,0.0,5.3988e-09,--,na
50.888,102.0,0.0,4.7861550000000004e-09,--,na
50.888,102.25,0.0,4.68251e-09,--,na
50.888,102.5,0.0,5.1467e-09,--,na
50.888,102.75,0.0,5.658025e-09,--,na
50.888,103.0,0.0,5.71082e-09,--,na
50.888,103.25,0.0,5.27616e-09,--,na
50.888,103.5,0.0,5.102565e-09,--,na
50.888,103.75,0.0,5.3614400000000005e-09,--,na
50.888,104.0,0.0,6.43852e-09,--,na
50.888,104.25,0.0,4.8939e-09,--,na
50.888,104.5,0.0,5.67384e-09,--,na
50.888,104.75,0.0,5.562094999999999e-09,--,na
50.888,105.0,0.0,5.75533e-09,--,na
50.888,105.25,0.0,5.72882e-09,--,na
50.888,105.5,0.0,6.15754e-09,--,na
50.888,105.75,0.0,5.945585e-09,--,na
50.888,106.0,0.0,6.39298e-09,--,na
50.888,106.25,0.0,6.295845e-09,--,na
50.888,106.5,0.0,6.54488e-09,--,na
50.888,106.75,0.0,6.85146e-09,--,na
50.888,107.0,0.0,6.97347e-09,--,na
50.888,107.25,0.0,6.60086e-09,--,na
50.888,107.5,0.0,6.445975e-09,--,na
50.888,107.75,0.0,6.845035e-09,--,na
50.888,108.0,0.0,8.25673e-09,--,na
50.888,108.25,0.0,7.104105000000001e-09,--,na
50.888,108.5,0.0,8.55331e-09,--,na
50.888,108.75,0.0,7.51339e-09,--,na
50.888,109.0,0.0,6.95634e-09,--,na
50.888,109.25,0.0,7.96964e-09,--,na
50.888,109.5,0.0,7.91584e-09,--,na
50.888,109.75,0.0,7.54562e-09,--,na
50.888,110.0,0.0,9.04893e-09,--,na
50.888,110.25,0.0,8.740545e-09,--,na
50.888,110.5,0.0,9.583689999999999e-09,--,na
50.888,110.75,0.0,8.75083e-09,--,na
50.888,111.0,0.0,8.32122e-09,--,na
50.888,111.25,0.0,9.388225e-09,--,na
50.888,111.5,0.0,9.99816e-09,--,na
50.888,111.75,0.0,1.08396e-08,--,na
50.888,112.0,0.0,9.66704e-09,--,na
50.888,112.25,0.0,1.004837e-08,--,na
50.888,112.5,0.0,1.017741e-08,--,na
50.888,112.75,0.0,1.04608e-08,--,na
50.888,113.0,0.0,1.13671e-08,--,na
50.888,113.25,0.0,1.0076995e-08,--,na
50.888,113.5,0.0,1.09685e-08,--,na
50.888,113.75,0.0,1.11694e-08,--,na
50.888,114.0,0.0,1.07368e-08,--,na
50.888,114.25,0.0,1.15206e-08,--,na
50.888,114.5,0.0,1.146375e-08,--,na
50.888,114.75,0.0,1.14725e-08,--,na
50.888,115.0,0.0,1.102295e-08,--,na
50.888,115.25,0.0,1.18013e-08,--,na
50.888,115.5,0.0,1.128225e-08,--,na
50.888,115.75,0.0,1.2393949999999999e-08,--,na
50.888,116.0,0.0,1.18032e-08,--,na
50.888,116.25,0.0,1.2269799999999999e-08,--,na
50.888,116.5,0.0,1.124005e-08,--,na
50.888,116.75,0.0,1.1636e-08,--,na
50.888,117.0,0.0,1.2202650000000001e-08,--,na
50.888,117.25,0.0,1.25279e-08,--,na
50.888,117.5,0.0,1.20659e-08,--,na
50.888,117.75,0.0,1.22696e-08,--,na
50.888,118.0,0.0,1.23682e-08,--,na
