ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,60.25,0.0,3.89346e-08,--,na
53.366,60.5,0.0,4.0662199999999995e-08,--,na
53.366,60.75,0.0,3.954925e-08,--,na
53.366,61.0,0.0,4.07064e-08,--,na
53.366,61.25,0.0,4.05272e-08,--,na
53.366,61.5,0.0,4.08175e-08,--,na
53.366,61.75,0.0,4.15225e-08,--,na
53.366,62.0,0.0,4.20348e-08,--,na
53.366,62.25,0.0,4.27369e-08,--,na
53.366,62.5,0.0,4.193145e-08,--,na
53.366,62.75,0.0,4.236615e-08,--,na
53.366,63.0,0.0,4.27969e-08,--,na
53.366,63.25,0.0,4.24685e-08,--,na
53.366,63.5,0.0,4.238815e-08,--,na
53.366,63.75,0.0,4.26236e-08,--,na
53.366,64.0,0.0,4.35711e-08,--,na
53.366,64.25,0.0,4.219185e-08,--,na
53.366,64.5,0.0,4.28359e-08,--,na
53.366,64.75,0.0,4.312355e-08,--,na
53.366,65.0,0.0,4.40969e-08,--,na
53.366,65.25,0.0,4.3173049999999995e-08,--,na
53.366,65.5,0.0,4.32815e-08,--,na
53.366,65.75,0.0,4.366065e-08,--,na
53.366,66.0,0.0,4.3655e-08,--,na
53.366,66.25,0.0,4.36541e-08,--,na
53.366,66.5,0.0,4.31491e-08,--,na
53.366,66.75,0.0,4.27786e-08,--,na
53.366,67.0,0.0,4.2357e-08,--,na
53.366,67.25,0.0,4.30644e-08,--,na
53.366,67.5,0.0,4.3454450000000004e-08,--,na
53.366,67.75,0.0,4.24685e-08,--,na
53.366,68.0,0.0,4.33106e-08,--,na
